Node,degree,weighted_degree,in_strength,out_strength,pagerank,betweenness,weak_component,weak_component_size,Role,Relationship,Request,family_role,family,arrested,neighbor_count,surviving_neighbor_count,cross_family_reach,role_priority_score,current_pagerank,current_betweenness,current_weighted_degree,current_component_size,pagerank_pct,betweenness_pct,current_pagerank_pct,current_weighted_degree_pct,role_priority_score_pct,future_arrest_priority_score
N106,1,1.0,0.0,1.0,0.0013032175670621051,0.0,5,2,,phone tapping with 107,,,,0.0,1,1,0,0,0.0030319235052025904,0.0,1.0,2.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.6127450980392157,0.2696078431372549,0.3377450980392157
N124,1,1.0,1.0,0.0,0.0019579029275641575,0.0,1,135,,phone tapping with various members,,,,0.0,1,0,0,0,0.0030319235052025904,0.0,0.0,1.0,0.3627450980392157,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.332843137254902
N146,1,1.0,1.0,0.0,0.0019550145971183896,0.0,1,135,,phone tapped with 18,,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.3431372549019608,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.3279411764705883
N132,1,1.0,1.0,0.0,0.0019550145971183896,0.0,1,135,,phone tapped with 18,,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.3431372549019608,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.3279411764705883
N126,1,1.0,1.0,0.0,0.0018073306314729748,0.0,1,135,,sighted and phone tapped several times,,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.29901960784313725,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.3169117647058824
N136,1,1.0,1.0,1.0,0.0018073306314729748,0.0,1,135,,common-law wife of 27,,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.29901960784313725,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.3169117647058824
N118,1,3.0,3.0,0.0,0.0018032471447849262,0.0,1,135,,external partnership,,,,0.0,1,0,0,0,0.0030319235052025904,0.0,0.0,1.0,0.28431372549019607,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.31323529411764706
N113,1,3.0,3.0,0.0,0.0017777731265984538,0.0,1,135,,external partnership,,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.27450980392156865,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.3107843137254902
N133,1,1.0,0.0,1.0,0.0013032175670621051,0.0,1,135,City employee,phone tapped with 37,,City employee,Unknown,0.0,1,0,1,1,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.6813725490196079,0.31029411764705883
N108,1,1.0,0.0,1.0,0.0013032175670621051,0.0,1,135,walking fishmonger,phone tapped with 18,,walking fishmonger,Unknown,0.0,1,0,1,1,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.6813725490196079,0.31029411764705883
N104,1,1.0,0.0,1.0,0.0013032175670621051,0.0,1,135,enterpreneur,,,enterpreneur,Unknown,0.0,1,0,1,1,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.6813725490196079,0.31029411764705883
N140,1,1.0,0.0,1.0,0.0013032175670621051,0.0,1,135,enterpreneur,,,enterpreneur,Unknown,0.0,1,0,1,1,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.6813725490196079,0.31029411764705883
N138,1,1.0,0.0,1.0,0.0013032175670621051,0.0,1,135,lawyer,in contact with 27,,lawyer,Unknown,0.0,1,0,1,1,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.6813725490196079,0.31029411764705883
N121,1,1.0,1.0,0.0,0.0017109270796494991,0.0,1,135,,nominee owner of the phone number used by 147,,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.25980392156862747,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.3071078431372549
N123,1,1.0,1.0,0.0,0.0017109270796494991,0.0,1,135,,Common-law wife of 47,,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.25980392156862747,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.3071078431372549
N131,1,4.0,0.0,4.0,0.0013032175670621051,0.0,1,135,,phone tapped with 37,,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.2691176470588235
N102,1,1.0,0.0,1.0,0.0013032175670621051,0.0,1,135,,,arrest request denied,,,0.0,1,0,1,0,0.0030319235052025904,0.0,0.0,1.0,0.10784313725490197,0.45098039215686275,0.28431372549019607,0.2696078431372549,0.2696078431372549,0.2691176470588235
